"","trans","Value","Std.Error","DF","t.value","p.value","conditions","fis.dist","minflight.prop","comparison"
"Homogeneity3",0.1,-0.0037,0.0016,35,-2.2785,0.0289,"fis-dist=50minflight-prop=0.25","50","0.25","Homogeneity"
"Homogeneity (sub followers)3",0.3,-0.013,0.0045,35,-2.8669,0.007,"fis-dist=50minflight-prop=0.25","50","0.25","Homogeneity (sub followers)"
"Leadership comp.4",-0.5,-0.2132,0.0827,14,-2.5778,0.0219,"fis-dist=75minflight-prop=0.1","75","0.1","Leadership comp."
"l.all - l.mixed4",1,-0.0565764741328982,0.0380798825619371,17,-1.485731318653,0.467031123651112,"fis-dist=75minflight-prop=0.1","75","0.1","l.all - l.mixed"
"l.all - h.mixed4",1,-0.0812006420824531,0.037920193105456,17,-2.14135623878903,0.180025796684205,"fis-dist=75minflight-prop=0.1","75","0.1","l.all - h.mixed"
"l.all - h.all4",1,-0.030862818073956,0.0337608099461521,17,-0.914161067912225,0.797661909462773,"fis-dist=75minflight-prop=0.1","75","0.1","l.all - h.all"
"l.mixed - h.mixed4",1,-0.0246241679495548,0.0313025159116702,17,-0.786651399492603,0.859477753173581,"fis-dist=75minflight-prop=0.1","75","0.1","l.mixed - h.mixed"
"l.mixed - h.all4",1,0.0257136560589422,0.0356978826740274,17,0.720313198789535,0.887645362846716,"fis-dist=75minflight-prop=0.1","75","0.1","l.mixed - h.all"
"h.mixed - h.all4",1,0.050337824008497,0.0352062090910574,17,1.42979960944682,0.498913349772409,"fis-dist=75minflight-prop=0.1","75","0.1","h.mixed - h.all"
"Mass comp. homogeneity4",-0.0999999999999999,-0.0512,0.0283,14,-1.8124,0.0914,"fis-dist=75minflight-prop=0.1","75","0.1","Mass comp. homogeneity"
"Homogeneity4",0.5,-0.0179,0.0082,35,-2.182,0.0359,"fis-dist=75minflight-prop=0.1","75","0.1","Homogeneity"
"Homogeneity (sub followers)4",0.4,-0.0172,0.0065,35,-2.6423,0.0122,"fis-dist=75minflight-prop=0.1","75","0.1","Homogeneity (sub followers)"
