"","medspeed","trans","predictors","Value","Std.Error","DF","t-value","p-value"
"1","medspeed","-2","(Intercept)","0.000698","1e-04","165","6.984015","0"
"2","medspeed","-2","mixed.notmixed","0.000351","5.6e-05","165","6.273578","0"
"3","medspeed","-2","insta.size6","3.4e-05","4.9e-05","42","0.692078","0.492697"
"4","medspeed","-2","insta.size3","-0.000259","0.000112","42","-2.30558","0.026142"
"5","medspeed","-2","insta.size4","0.000114","8.8e-05","42","1.29037","0.203981"
"6","medspeed","-2","tort","0.08991","0.004479","42","20.071561","0"
"7","medspeed","-2","cross.wind","0.000143","1.7e-05","42","8.441241","0"
"8","medspeed","-2","support.wind","3e-05","9e-06","42","3.34567","0.001737"
