"","Leadership composition","Mass composition","Training","All"
"Cranio-caudal spread",0.24335,0.528793,0.265136,0.045994
"Dorso-ventral spread",0.000157,0.13779,0.082299,0.000766
"Flock stasis",0.000237,0.045256,0.035286,3e-06
"Flock spread",0.001452,0.346498,0.191593,0.012721
