"","Cranio-caudal spread","Dorso-ventral spread","Flock spread","Flock stasis"
"Cranio-caudal spread",NA,NA,NA,NA
"Dorso-ventral spread",0.785413,NA,NA,NA
"Flock spread",0.877059,0.871756,NA,NA
"Flock stasis",-0.344151,-0.184618,-0.372355,NA
