"","Cranio-caudal spread","Dorso-ventral spread","Flock spread","Flock stasis"
"Cranio-caudal spread",NA,NA,NA,NA
"Dorso-ventral spread",0.805291,NA,NA,NA
"Flock spread",0.866048,0.902899,NA,NA
"Flock stasis",-0.125007,-0.131906,-0.255699,NA
