"","Leadership composition","Mass composition","Training","All"
"Cranio-caudal spread",0.137194,0.276301,0.000984,3e-06
"Dorso-ventral spread",0.000417,0.012281,0.002855,3e-06
"Flock stasis",0.000225,0.006291,0.00456,0
"Flock spread",0.001299,0.036923,0.000211,0
