"","leadManip","GMC","Training","all"
"fbspread",0.354487,0.500144,0.261411,0.060099
"lrspread",0.001434,0.210484,0.087208,2.2e-05
"flock.stasis",0.004255,0.042596,0.312786,0.000348
"flock.spread",0.007611,0.419783,0.070139,0.011986
