"","Leadership composition","Mass composition","Training","All"
"Cranio-caudal spread",0.227977,0.284345,0.615615,0.011683
"Dorso-ventral spread",9.1e-05,0.000293,0.241423,1.4e-05
"Flock stasis",1e-06,0.033475,0.030731,0
"Flock spread",0.001044,0.044826,0.475298,0.000392
