"","Cranio-caudal spread","Dorso-ventral spread","Flock spread","Flock stasis"
"Cranio-caudal spread",NA,NA,NA,NA
"Dorso-ventral spread",0.813616,NA,NA,NA
"Flock spread",0.886072,0.903357,NA,NA
"Flock stasis",-0.345986,-0.210482,-0.361713,NA
