"","Cranio-caudal spread","Dorso-ventral spread","Flock spread","Flock stasis"
"Cranio-caudal spread",NA,NA,NA,NA
"Dorso-ventral spread",0.806356,NA,NA,NA
"Flock spread",0.887477,0.915086,NA,NA
"Flock stasis",-0.381084,-0.283519,-0.410666,NA
