"","Cranio-caudal spread","Dorso-ventral spread","Flock spread","Flock stasis"
"Cranio-caudal spread",NA,NA,NA,NA
"Dorso-ventral spread",0.768669,NA,NA,NA
"Flock spread",0.828769,0.809261,NA,NA
"Flock stasis",-0.314109,-0.205123,-0.387985,NA
