"","Leadership composition","Mass composition","Training","All"
"Cranio-caudal spread",0.26939,0.451725,0.276616,0.040586
"Dorso-ventral spread",0.000356,0.122119,0.110562,0.001149
"Flock stasis",0.000235,0.020056,0.036987,3e-06
"Flock spread",0.00831,0.299901,0.106395,0.019744
